,From,Entry,Reviewed,Entry Name,Protein names,Gene Names,Organism,Length
669,FADS1,O60427,reviewed,FADS1_HUMAN,Acyl-CoA (8-3)-desaturase (EC 1.14.19.44) (Delta(5) fatty acid desaturase) (D5D) (Delta(5) desaturase) (Delta-5 desaturase) (Fatty acid desaturase 1),FADS1 FADSD5,Homo sapiens (Human),444
696,FAM83A,Q86UY5,reviewed,FA83A_HUMAN,Protein FAM83A (Tumor antigen BJ-TSA-9) (Tumor-specific gene expressed in prostate protein),FAM83A TSGP,Homo sapiens (Human),434
697,FASTKD1,Q53R41,reviewed,FAKD1_HUMAN,"FAST kinase domain-containing protein 1, mitochondrial",FASTKD1 KIAA1800,Homo sapiens (Human),847
702,FBLN1,P23142,reviewed,FBLN1_HUMAN,Fibulin-1 (FIBL-1),FBLN1 PP213,Homo sapiens (Human),703
714,FBN1,P35555,reviewed,FBN1_HUMAN,Fibrillin-1 [Cleaved into: Asprosin],FBN1 FBN,Homo sapiens (Human),2871
724,FGF1,P05230,reviewed,FGF1_HUMAN,Fibroblast growth factor 1 (FGF-1) (Acidic fibroblast growth factor) (aFGF) (Endothelial cell growth factor) (ECGF) (Heparin-binding growth factor 1) (HBGF-1),FGF1 FGFA,Homo sapiens (Human),155
729,FLNA,P21333,reviewed,FLNA_HUMAN,Filamin-A (FLN-A) (Actin-binding protein 280) (ABP-280) (Alpha-filamin) (Endothelial actin-binding protein) (Filamin-1) (Non-muscle filamin),FLNA FLN FLN1,Homo sapiens (Human),2647
744,FLOT1,O75955,reviewed,FLOT1_HUMAN,Flotillin-1,FLOT1,Homo sapiens (Human),427
770,FOXA1,P55317,reviewed,FOXA1_HUMAN,Hepatocyte nuclear factor 3-alpha (HNF-3-alpha) (HNF-3A) (Forkhead box protein A1) (Transcription factor 3A) (TCF-3A),FOXA1 HNF3A TCF3A,Homo sapiens (Human),472
772,FSCN1,Q16658,reviewed,FSCN1_HUMAN,Fascin (55 kDa actin-bundling protein) (Singed-like protein) (p55),FSCN1 FAN1 HSN SNL,Homo sapiens (Human),493
776,FUS,P35637,reviewed,FUS_HUMAN,RNA-binding protein FUS (75 kDa DNA-pairing protein) (Oncogene FUS) (Oncogene TLS) (POMp75) (Translocated in liposarcoma protein),FUS TLS,Homo sapiens (Human),526
784,GAGE1,P0DTW1,reviewed,GAGE1_HUMAN,G antigen 1 (GAGE-1) (Antigen MZ2-F) (Cancer/testis antigen 4.1) (CT4.1),GAGE1,Homo sapiens (Human),117
787,GARIN2,Q8N9W8,reviewed,GAR2_HUMAN,Golgi-associated RAB2 interactor protein 2,GARIN2 C14orf54 FAM71D,Homo sapiens (Human),422
800,GFOD1,Q9NXC2,reviewed,GFOD1_HUMAN,Glucose-fructose oxidoreductase domain-containing protein 1 (Gfo/Idh/MocA-like oxidoreductase domain-containing protein 1),GFOD1 C6orf114,Homo sapiens (Human),390
802,GGA1,Q9UJY5,reviewed,GGA1_HUMAN,"ADP-ribosylation factor-binding protein GGA1 (Gamma-adaptin-related protein 1) (Golgi-localized, gamma ear-containing, ARF-binding protein 1)",GGA1,Homo sapiens (Human),639
812,GGT1,P19440,reviewed,GGT1_HUMAN,Glutathione hydrolase 1 proenzyme (EC 3.4.19.13) (Gamma-glutamyltransferase 1) (Gamma-glutamyltranspeptidase 1) (GGT 1) (EC 2.3.2.2) (Leukotriene-C4 hydrolase) (EC 3.4.19.14) (CD antigen CD224) [Cleaved into: Glutathione hydrolase 1 heavy chain; Glutathione hydrolase 1 light chain],GGT1 GGT,Homo sapiens (Human),569
832,GIMAP1,Q8WWP7,reviewed,GIMA1_HUMAN,GTPase IMAP family member 1 (Immunity-associated protein 1) (hIMAP1),GIMAP1 IMAP1,Homo sapiens (Human),306
833,GK,P32189,reviewed,GLPK_HUMAN,Glycerol kinase (Glycerokinase) (EC 2.7.1.30) (ATP:glycerol 3-phosphotransferase),GK,Homo sapiens (Human),559
842,GPAT3,Q53EU6,reviewed,GPAT3_HUMAN,Glycerol-3-phosphate acyltransferase 3 (GPAT-3) (EC 2.3.1.15) (1-acyl-sn-glycerol-3-phosphate O-acyltransferase 10) (AGPAT 10) (1-acyl-sn-glycerol-3-phosphate O-acyltransferase 9) (1-AGP acyltransferase 9) (1-AGPAT 9) (EC 2.3.1.51) (Acyl-CoA:glycerol-3-phosphate acyltransferase 3) (hGPAT3) (Lung cancer metastasis-associated protein 1) (Lysophosphatidic acid acyltransferase theta) (LPAAT-theta) (MAG-1),GPAT3 AGPAT9 MAG1 HMFN0839 UNQ2753/PRO6492,Homo sapiens (Human),434
843,GPATCH1,Q9BRR8,reviewed,GPTC1_HUMAN,G patch domain-containing protein 1 (Evolutionarily conserved G-patch domain-containing protein),GPATCH1 ECGP GPATC1,Homo sapiens (Human),931
845,GPN1,Q9HCN4,reviewed,GPN1_HUMAN,GPN-loop GTPase 1 (EC 3.6.5.-) (MBD2-interacting protein) (MBDin) (RNAPII-associated protein 4) (XPA-binding protein 1),GPN1 MBDIN RPAP4 XAB1 HUSSY-23,Homo sapiens (Human),374
847,GPX1,P07203,reviewed,GPX1_HUMAN,Glutathione peroxidase 1 (GPx-1) (GSHPx-1) (EC 1.11.1.9) (Cellular glutathione peroxidase) (Phospholipid-hydroperoxide glutathione peroxidase GPX1) (EC 1.11.1.12),GPX1,Homo sapiens (Human),203
862,GRAMD2,Q8IUY3,reviewed,GRM2A_HUMAN,GRAM domain-containing protein 2A,GRAMD2A GRAMD2,Homo sapiens (Human),354
863,GSDMD,P57764,reviewed,GSDMD_HUMAN,"Gasdermin-D (Gasdermin domain-containing protein 1) [Cleaved into: Gasdermin-D, N-terminal (GSDMD-NT) (hGSDMD-NTD); Gasdermin-D, C-terminal (GSDMD-CT) (hGSDMD-CTD); Gasdermin-D, p13 (Gasdermin-D, 13 kDa) (13 kDa GSDMD); Gasdermin-D, p40]",GSDMD DFNA5L GSDMDC1 FKSG10,Homo sapiens (Human),484
871,H1-0,P07305,reviewed,H10_HUMAN,"Histone H1.0 (Histone H1') (Histone H1(0)) [Cleaved into: Histone H1.0, N-terminally processed]",H1-0 H1F0 H1FV,Homo sapiens (Human),194
872,HBA1,P69905,reviewed,HBA_HUMAN,Hemoglobin subunit alpha (Alpha-globin) (Hemoglobin alpha chain) [Cleaved into: Hemopressin],HBA1; HBA2,Homo sapiens (Human),142
886,HDAC1,Q13547,reviewed,HDAC1_HUMAN,Histone deacetylase 1 (HD1) (EC 3.5.1.98) (Protein deacetylase HDAC1) (EC 3.5.1.-) (Protein deacylase HDAC1) (EC 3.5.1.-),HDAC1 RPD3L1,Homo sapiens (Human),482
893,HDHD2,Q9H0R4,reviewed,HDHD2_HUMAN,Haloacid dehalogenase-like hydrolase domain-containing protein 2,HDHD2,Homo sapiens (Human),259
900,HK1,P19367,reviewed,HXK1_HUMAN,Hexokinase-1 (EC 2.7.1.1) (Brain form hexokinase) (Hexokinase type I) (HK I) (Hexokinase-A),HK1,Homo sapiens (Human),917
922,HLA-A,P04439,reviewed,HLAA_HUMAN,"HLA class I histocompatibility antigen, A alpha chain (Human leukocyte antigen A) (HLA-A)",HLA-A HLAA,Homo sapiens (Human),365
9800,HNRNPAB,Q99729,reviewed,ROAA_HUMAN,Heterogeneous nuclear ribonucleoprotein A/B (hnRNP A/B) (APOBEC1-binding protein 1) (ABBP-1),HNRNPAB ABBP1 HNRPAB,Homo sapiens (Human),332
9804,HOMER1,Q86YM7,reviewed,HOME1_HUMAN,Homer protein homolog 1 (Homer-1),HOMER1 SYN47,Homo sapiens (Human),354
9807,IDH1,O75874,reviewed,IDHC_HUMAN,Isocitrate dehydrogenase [NADP] cytoplasmic (IDH) (IDH1) (EC 1.1.1.42) (Cytosolic NADP-isocitrate dehydrogenase) (IDPc) (NADP(+)-specific ICDH) (Oxalosuccinate decarboxylase),IDH1 PICD,Homo sapiens (Human),414
9815,IFITM1,P13164,reviewed,IFM1_HUMAN,Interferon-induced transmembrane protein 1 (Dispanin subfamily A member 2a) (DSPA2a) (Interferon-induced protein 17) (Interferon-inducible protein 9-27) (Leu-13 antigen) (CD antigen CD225),IFITM1 CD225 IFI17,Homo sapiens (Human),125
9826,IGFBP1,P08833,reviewed,IBP1_HUMAN,Insulin-like growth factor-binding protein 1 (IBP-1) (IGF-binding protein 1) (IGFBP-1) (Placental protein 12) (PP12),IGFBP1 IBP1,Homo sapiens (Human),259
9831,IGFL1,Q6UW32,reviewed,IGFL1_HUMAN,Insulin growth factor-like family member 1,IGFL1 UNQ644/PRO1274,Homo sapiens (Human),110
9832,IKBKB,O14920,reviewed,IKKB_HUMAN,Inhibitor of nuclear factor kappa-B kinase subunit beta (I-kappa-B-kinase beta) (IKK-B) (IKK-beta) (IkBKB) (EC 2.7.11.10) (I-kappa-B kinase 2) (IKK-2) (IKK2) (Nuclear factor NF-kappa-B inhibitor kinase beta) (NFKBIKB) (Serine/threonine protein kinase IKBKB) (EC 2.7.11.1),IKBKB IKKB,Homo sapiens (Human),756
9848,IPO4,Q8TEX9,reviewed,IPO4_HUMAN,Importin-4 (Imp4) (Importin-4b) (Imp4b) (Ran-binding protein 4) (RanBP4),IPO4 IMP4B RANBP4,Homo sapiens (Human),1081
9857,IQGAP1,P46940,reviewed,IQGA1_HUMAN,Ras GTPase-activating-like protein IQGAP1 (p195),IQGAP1 KIAA0051,Homo sapiens (Human),1657
9867,IRF1,P10914,reviewed,IRF1_HUMAN,Interferon regulatory factor 1 (IRF-1),IRF1,Homo sapiens (Human),325
9900,ISM1,B1AKI9,reviewed,ISM1_HUMAN,Isthmin-1,ISM1 C20orf82 ISM,Homo sapiens (Human),464
9901,IZUMO1,Q8IYV9,reviewed,IZUM1_HUMAN,Izumo sperm-egg fusion protein 1 (Oocyte binding/fusion factor) (OBF) (Sperm-specific protein izumo),IZUMO1,Homo sapiens (Human),350
9903,JAG1,P78504,reviewed,JAG1_HUMAN,Protein jagged-1 (Jagged1) (hJ1) (CD antigen CD339),JAG1 JAGL1,Homo sapiens (Human),1218
9910,JPH1,Q9HDC5,reviewed,JPH1_HUMAN,Junctophilin-1 (JP-1) (Junctophilin type 1),JPH1 JP1,Homo sapiens (Human),661
9914,KCNMB1,Q16558,reviewed,KCMB1_HUMAN,"Calcium-activated potassium channel subunit beta-1 (BK channel subunit beta-1) (BKbeta) (BKbeta1) (Hbeta1) (Calcium-activated potassium channel, subfamily M subunit beta-1) (Calcium-activated potassium channel subunit beta) (Charybdotoxin receptor subunit beta-1) (K(VCA)beta-1) (Maxi K channel subunit beta-1) (Slo-beta-1) (Slo-beta)",KCNMB1,Homo sapiens (Human),191
9915,KCTD1,Q719H9,reviewed,KCTD1_HUMAN,BTB/POZ domain-containing protein KCTD1 (Potassium channel tetramerization domain-containing protein 1),KCTD1 C18orf5,Homo sapiens (Human),257
9920,KDELR1,P24390,reviewed,ERD21_HUMAN,ER lumen protein-retaining receptor 1 (KDEL endoplasmic reticulum protein retention receptor 1) (KDEL receptor 1) (Putative MAPK-activating protein PM23),KDELR1 ERD2.1,Homo sapiens (Human),212
9922,KIF1A,Q12756,reviewed,KIF1A_HUMAN,Kinesin-like protein KIF1A (EC 5.6.1.3) (Axonal transporter of synaptic vesicles) (Microtubule-based motor KIF1A) (Unc-104- and KIF1A-related protein) (hUnc-104),KIF1A ATSV C2orf20,Homo sapiens (Human),1690
9951,KLF1,Q13351,reviewed,KLF1_HUMAN,Krueppel-like factor 1 (Erythroid krueppel-like transcription factor) (EKLF),KLF1 EKLF,Homo sapiens (Human),362
9970,KLHL1,Q9NR64,reviewed,KLHL1_HUMAN,Kelch-like protein 1,KLHL1 KIAA1490,Homo sapiens (Human),748
9974,KLK1,P06870,reviewed,KLK1_HUMAN,Kallikrein-1 (EC 3.4.21.35) (Kidney/pancreas/salivary gland kallikrein) (Tissue kallikrein),KLK1,Homo sapiens (Human),262
9980,KLRB1,Q12918,reviewed,KLRB1_HUMAN,Killer cell lectin-like receptor subfamily B member 1 (C-type lectin domain family 5 member B) (HNKR-P1a) (NKR-P1A) (Natural killer cell surface protein P1A) (CD antigen CD161),KLRB1 CLEC5B NKRP1A,Homo sapiens (Human),225
9981,KRTAP1-1,Q07627,reviewed,KRA11_HUMAN,Keratin-associated protein 1-1 (High sulfur keratin-associated protein 1.1) (Keratin-associated protein 1.1) (Keratin-associated protein 1.6) (Keratin-associated protein 1.7),KRTAP1-1 B2A KAP1.1 KAP1.6 KAP1.7 KRTAP1.1,Homo sapiens (Human),177
9982,LACTB,P83111,reviewed,LACTB_HUMAN,"Serine beta-lactamase-like protein LACTB, mitochondrial (EC 3.4.-.-)",LACTB MRPL56 UNQ843/PRO1781,Homo sapiens (Human),547
9984,LAMA1,P25391,reviewed,LAMA1_HUMAN,Laminin subunit alpha-1 (Laminin A chain) (Laminin-1 subunit alpha) (Laminin-3 subunit alpha) (S-laminin subunit alpha) (S-LAM alpha),LAMA1 LAMA,Homo sapiens (Human),3075
9989,LARP1,Q6PKG0,reviewed,LARP1_HUMAN,La-related protein 1 (La ribonucleoprotein domain family member 1),LARP1 KIAA0731 LARP,Homo sapiens (Human),1096
10003,LDLR,P01130,reviewed,LDLR_HUMAN,Low-density lipoprotein receptor (LDL receptor),LDLR,Homo sapiens (Human),860
10019,LGALS1,P09382,reviewed,LEG1_HUMAN,Galectin-1 (Gal-1) (14 kDa laminin-binding protein) (HLBP14) (14 kDa lectin) (Beta-galactoside-binding lectin L-14-I) (Galaptin) (HBL) (HPL) (Lactose-binding lectin 1) (Lectin galactoside-binding soluble 1) (Putative MAPK-activating protein PM12) (S-Lac lectin 1),LGALS1,Homo sapiens (Human),135
10023,LGI1,O95970,reviewed,LGI1_HUMAN,Leucine-rich glioma-inactivated protein 1 (Epitempin-1),LGI1 EPT UNQ775/PRO1569,Homo sapiens (Human),557
10037,LIMK1,P53667,reviewed,LIMK1_HUMAN,LIM domain kinase 1 (LIMK-1) (EC 2.7.11.1),LIMK1 LIMK,Homo sapiens (Human),647
10041,LPCAT4,Q643R3,reviewed,LPCT4_HUMAN,Lysophospholipid acyltransferase LPCAT4 (1-acylglycerol-3-phosphate O-acyltransferase 7) (1-AGP acyltransferase 7) (1-AGPAT 7) (1-acylglycerophosphocholine O-acyltransferase) (EC 2.3.1.23) (1-acylglycerophosphoserine O-acyltransferase) (EC 2.3.1.n6) (1-alkenylglycerophosphoethanolamine O-acyltransferase) (EC 2.3.1.121) (1-alkylglycerophosphocholine O-acetyltransferase) (EC 2.3.1.67) (Acyltransferase-like 3) (Lysophosphatidylcholine acyltransferase 4) (Lysophosphatidylethanolamine acyltransferase 2) (EC 2.3.1.n7) (Plasmalogen synthase),LPCAT4 AGPAT7 AYTL3 LPEAT2,Homo sapiens (Human),524
10045,LPO,P22079,reviewed,PERL_HUMAN,Lactoperoxidase (LPO) (EC 1.11.1.7) (Salivary peroxidase) (SPO),LPO SAPX,Homo sapiens (Human),712
10050,LRCH1,Q9Y2L9,reviewed,LRCH1_HUMAN,Leucine-rich repeat and calponin homology domain-containing protein 1 (Calponin homology domain-containing protein 1) (Neuronal protein 81) (NP81),LRCH1 CHDC1 KIAA1016,Homo sapiens (Human),728
10054,LRRK2,Q5S007,reviewed,LRRK2_HUMAN,Leucine-rich repeat serine/threonine-protein kinase 2 (EC 2.7.11.1) (EC 3.6.5.-) (Dardarin),LRRK2 PARK8,Homo sapiens (Human),2527
10071,LTBP1,Q14766,reviewed,LTBP1_HUMAN,Latent-transforming growth factor beta-binding protein 1 (LTBP-1) (Transforming growth factor beta-1-binding protein 1) (TGF-beta1-BP-1),LTBP1,Homo sapiens (Human),1721
10080,LYRM1,O43325,reviewed,LYRM1_HUMAN,LYR motif-containing protein 1,LYRM1,Homo sapiens (Human),122
10083,LYSMD1,Q96S90,reviewed,LYSM1_HUMAN,LysM and putative peptidoglycan-binding domain-containing protein 1,LYSMD1 SB145,Homo sapiens (Human),227
10084,M6PR,P20645,reviewed,MPRD_HUMAN,Cation-dependent mannose-6-phosphate receptor (CD Man-6-P receptor) (CD-MPR) (46 kDa mannose 6-phosphate receptor) (MPR 46),M6PR MPR46 MPRD,Homo sapiens (Human),277
10096,MACROD1,Q9BQ69,reviewed,MACD1_HUMAN,ADP-ribose glycohydrolase MACROD1 (MACRO domain-containing protein 1) (O-acetyl-ADP-ribose deacetylase MACROD1) (EC 3.1.1.106) (Protein LRP16) ([Protein ADP-ribosylaspartate] hydrolase MACROD1) (EC 3.2.2.-) ([Protein ADP-ribosylglutamate] hydrolase MACROD1) (EC 3.2.2.-),MACROD1 LRP16,Homo sapiens (Human),325
10098,MAGEA1,P43355,reviewed,MAGA1_HUMAN,Melanoma-associated antigen 1 (Antigen MZ2-E) (Cancer/testis antigen 1.1) (CT1.1) (MAGE-1 antigen),MAGEA1 MAGE1 MAGE1A,Homo sapiens (Human),309
10101,MAPRE1,Q15691,reviewed,MARE1_HUMAN,Microtubule-associated protein RP/EB family member 1 (APC-binding protein EB1) (End-binding protein 1) (EB1),MAPRE1,Homo sapiens (Human),268
10103,MATN1,P21941,reviewed,MATN1_HUMAN,Matrilin-1 (Cartilage matrix protein),MATN1 CMP CRTM,Homo sapiens (Human),496
10105,MBD1,Q9UIS9,reviewed,MBD1_HUMAN,Methyl-CpG-binding domain protein 1 (CXXC-type zinc finger protein 3) (Methyl-CpG-binding protein MBD1) (Protein containing methyl-CpG-binding domain 1),MBD1 CXXC3 PCM1,Homo sapiens (Human),605
10112,MBOAT1,Q6ZNC8,reviewed,MBOA1_HUMAN,Membrane-bound glycerophospholipid O-acyltransferase 1 (EC 2.3.1.-) (1-acylglycerophosphocholine O-acyltransferase) (EC 2.3.1.23) (1-acylglycerophosphoethanolamine O-acyltransferase) (EC 2.3.1.n7) (1-acylglycerophosphoserine O-acyltransferase) (EC 2.3.1.n6) (Lysophosphatidylserine acyltransferase) (LPSAT) (Lyso-PS acyltransferase) (Lysophospholipid acyltransferase 1) (LPLAT 1) (Membrane-bound O-acyltransferase domain-containing protein 1) (O-acyltransferase domain-containing protein 1),MBOAT1 OACT1,Homo sapiens (Human),495
10113,MCEE,Q96PE7,reviewed,MCEE_HUMAN,"Methylmalonyl-CoA epimerase, mitochondrial (EC 5.1.99.1) (DL-methylmalonyl-CoA racemase)",MCEE,Homo sapiens (Human),176
10116,MCTP1,Q6DN14,reviewed,MCTP1_HUMAN,Multiple C2 and transmembrane domain-containing protein 1,MCTP1,Homo sapiens (Human),999
10125,MDH1,P40925,reviewed,MDHC_HUMAN,"Malate dehydrogenase, cytoplasmic (EC 1.1.1.37) (Aromatic alpha-keto acid reductase) (KAR) (EC 1.1.1.96) (Cytosolic malate dehydrogenase)",MDH1 MDHA,Homo sapiens (Human),334
10134,MEF2A,Q02078,reviewed,MEF2A_HUMAN,Myocyte-specific enhancer factor 2A (Serum response factor-like protein 1),MEF2A MEF2,Homo sapiens (Human),507
10146,MEFV,O15553,reviewed,MEFV_HUMAN,Pyrin (Marenostrin),MEFV MEF TRIM20,Homo sapiens (Human),781
10159,MLH1,P40692,reviewed,MLH1_HUMAN,DNA mismatch repair protein Mlh1 (MutL protein homolog 1),MLH1 COCA2,Homo sapiens (Human),756
10202,MOB1A,Q9H8S9,reviewed,MOB1A_HUMAN,MOB kinase activator 1A (Mob1 alpha) (Mob1A) (Mob1 homolog 1B) (Mps one binder kinase activator-like 1B),MOB1A C2orf6 MOB4B MOBK1B MOBKL1B,Homo sapiens (Human),216
10203,MS4A1,P11836,reviewed,CD20_HUMAN,B-lymphocyte antigen CD20 (B-lymphocyte surface antigen B1) (Bp35) (Leukocyte surface antigen Leu-16) (Membrane-spanning 4-domains subfamily A member 1) (CD antigen CD20),MS4A1 CD20,Homo sapiens (Human),297
10206,MSH2,P43246,reviewed,MSH2_HUMAN,DNA mismatch repair protein Msh2 (hMSH2) (MutS protein homolog 2),MSH2,Homo sapiens (Human),934
10233,MT1A,P04731,reviewed,MT1A_HUMAN,Metallothionein-1A (MT-1A) (Metallothionein-IA) (MT-IA),MT1A MT1S,Homo sapiens (Human),61
10234,MYB,P10242,reviewed,MYB_HUMAN,Transcriptional activator Myb (Proto-oncogene c-Myb),MYB,Homo sapiens (Human),640
10259,MYOCD,Q8IZQ8,reviewed,MYCD_HUMAN,Myocardin,MYOCD MYCD,Homo sapiens (Human),938
10262,MYOZ1,Q9NP98,reviewed,MYOZ1_HUMAN,"Myozenin-1 (Calsarcin-2) (Filamin-, actinin- and telethonin-binding protein) (Protein FATZ)",MYOZ1 MYOZ,Homo sapiens (Human),299
10263,NAA10,P41227,reviewed,NAA10_HUMAN,N-alpha-acetyltransferase 10 (EC 2.3.1.255) (N-terminal acetyltransferase complex ARD1 subunit homolog A) (hARD1) (NatA catalytic subunit Naa10),NAA10 ARD1 ARD1A TE2,Homo sapiens (Human),235
10268,NBEA,Q8NFP9,reviewed,NBEA_HUMAN,Neurobeachin (Lysosomal-trafficking regulator 2) (Protein BCL8B),NBEA BCL8B KIAA1544 LYST2,Homo sapiens (Human),2946
10291,NBPF1,Q3BBV0,reviewed,NBPF1_HUMAN,NBPF family member NBPF1 (Neuroblastoma breakpoint family member 1),NBPF1 KIAA1693,Homo sapiens (Human),1214
10296,NCAM1,P13591,reviewed,NCAM1_HUMAN,Neural cell adhesion molecule 1 (N-CAM-1) (NCAM-1) (CD antigen CD56),NCAM1 NCAM,Homo sapiens (Human),858
10310,NDRG1,Q92597,reviewed,NDRG1_HUMAN,Protein NDRG1 (Differentiation-related gene 1 protein) (DRG-1) (N-myc downstream-regulated gene 1 protein) (Nickel-specific induction protein Cap43) (Reducing agents and tunicamycin-responsive protein) (RTP) (Rit42),NDRG1 CAP43 DRG1 RTP,Homo sapiens (Human),394
10337,NECAB1,Q8N987,reviewed,NECA1_HUMAN,N-terminal EF-hand calcium-binding protein 1 (EF-hand calcium-binding protein 1) (Neuronal calcium-binding protein 1),NECAB1 EFCBP1,Homo sapiens (Human),351
10338,NEK2,P51955,reviewed,NEK2_HUMAN,Serine/threonine-protein kinase Nek2 (EC 2.7.11.1) (HSPK 21) (Never in mitosis A-related kinase 2) (NimA-related protein kinase 2) (NimA-like protein kinase 1),NEK2 NEK2A NLK1,Homo sapiens (Human),445
10340,NFATC1,O95644,reviewed,NFAC1_HUMAN,"Nuclear factor of activated T-cells, cytoplasmic 1 (NF-ATc1) (NFATc1) (NFAT transcription complex cytosolic component) (NF-ATc) (NFATc)",NFATC1 NFAT2 NFATC,Homo sapiens (Human),943
10345,NFKB1,P19838,reviewed,NFKB1_HUMAN,Nuclear factor NF-kappa-B p105 subunit (DNA-binding factor KBF1) (EBP-1) (Nuclear factor of kappa light polypeptide gene enhancer in B-cells 1) [Cleaved into: Nuclear factor NF-kappa-B p50 subunit],NFKB1,Homo sapiens (Human),968
10351,NKAIN1,Q4KMZ8,reviewed,NKAI1_HUMAN,Sodium/potassium-transporting ATPase subunit beta-1-interacting protein 1 (Na(+)/K(+)-transporting ATPase subunit beta-1-interacting protein 1) (Protein FAM77C),NKAIN1 FAM77C,Homo sapiens (Human),207
10354,NLGN1,Q8N2Q7,reviewed,NLGN1_HUMAN,Neuroligin-1,NLGN1 KIAA1070,Homo sapiens (Human),863
10359,NLN,Q9BYT8,reviewed,NEUL_HUMAN,"Neurolysin, mitochondrial (EC 3.4.24.16) (Angiotensin-binding protein) (Microsomal endopeptidase) (MEP) (Mitochondrial oligopeptidase M) (Neurotensin endopeptidase)",NLN AGTBP KIAA1226,Homo sapiens (Human),704
10364,NLRC3,Q7RTR2,reviewed,NLRC3_HUMAN,"NLR family CARD domain-containing protein 3 (CARD15-like protein) (Caterpiller protein 16.2) (CLR16.2) (NACHT, LRR and CARD domains-containing protein 3) (Nucleotide-binding oligomerization domain protein 3)",NLRC3 NOD3,Homo sapiens (Human),1065
10368,NMBR,P28336,reviewed,NMBR_HUMAN,Neuromedin-B receptor (NMB-R) (Epididymis tissue protein Li 185a) (Neuromedin-B-preferring bombesin receptor),NMBR,Homo sapiens (Human),390
10370,NME1,P15531,reviewed,NDKA_HUMAN,Nucleoside diphosphate kinase A (NDK A) (NDP kinase A) (EC 2.7.4.6) (Granzyme A-activated DNase) (GAAD) (Metastasis inhibition factor nm23) (NM23-H1) (Tumor metastatic process-associated protein),NME1 NDPKA NM23,Homo sapiens (Human),152
10374,NMT1,P30419,reviewed,NMT1_HUMAN,Glycylpeptide N-tetradecanoyltransferase 1 (EC 2.3.1.97) (Myristoyl-CoA:protein N-myristoyltransferase 1) (HsNMT1) (NMT 1) (Type I N-myristoyltransferase) (Peptide N-myristoyltransferase 1) (Protein-lysine myristoyltransferase NMT1) (EC 2.3.1.-),NMT1 NMT,Homo sapiens (Human),496
10387,NOX1,Q9Y5S8,reviewed,NOX1_HUMAN,NADPH oxidase 1 (NOX-1) (EC 1.6.3.-) (Mitogenic oxidase 1) (MOX-1) (NADH/NADPH mitogenic oxidase subunit P65-MOX) (NOH-1),NOX1 MOX1 NOH1,Homo sapiens (Human),564
10392,NRXN1,P58400,reviewed,NRX1B_HUMAN,Neurexin-1-beta (Neurexin I-beta),NRXN1,Homo sapiens (Human),472
10420,NTN1,O95631,reviewed,NET1_HUMAN,Netrin-1 (Epididymis tissue protein Li 131P),NTN1 NTN1L,Homo sapiens (Human),604
10422,NUDT1,P36639,reviewed,8ODP_HUMAN,"Oxidized purine nucleoside triphosphate hydrolase (EC 3.6.1.56) (2-hydroxy-dATP diphosphatase) (7,8-dihydro-8-oxoguanine triphosphatase) (8-oxo-dGTPase) (Methylated purine nucleoside triphosphate hydrolase) (EC 3.6.1.-) (Nucleoside diphosphate-linked moiety X motif 1) (Nudix motif 1)",NUDT1 MTH1,Homo sapiens (Human),156
10424,OAS1,P00973,reviewed,OAS1_HUMAN,2'-5'-oligoadenylate synthase 1 ((2-5')oligo(A) synthase 1) (2-5A synthase 1) (EC 2.7.7.84) (E18/E16) (p46/p42 OAS),OAS1 OIAS,Homo sapiens (Human),400
10449,OSBP,P22059,reviewed,OSBP1_HUMAN,Oxysterol-binding protein 1,OSBP OSBP1,Homo sapiens (Human),807
10451,OXR1,Q8N573,reviewed,OXR1_HUMAN,Oxidation resistance protein 1,OXR1 Nbla00307,Homo sapiens (Human),874
10458,PAGE1,O75459,reviewed,PAGE1_HUMAN,P antigen family member 1 (PAGE-1) (AL5) (G antigen 9) (GAGE-9) (G antigen family B member 1) (Prostate-associated gene 1 protein),PAGE1 GAGE9 GAGEB1,Homo sapiens (Human),146
10459,PALM,O75781,reviewed,PALM_HUMAN,Paralemmin-1 (Paralemmin),PALM KIAA0270,Homo sapiens (Human),387
10463,PAQR3,Q6TCH7,reviewed,PAQR3_HUMAN,Progestin and adipoQ receptor family member 3 (Progestin and adipoQ receptor family member III) (Raf kinase trapping to Golgi) (RKTG),PAQR3,Homo sapiens (Human),311
10466,PARK7,Q99497,reviewed,PARK7_HUMAN,"Parkinson disease protein 7 (Maillard deglycase) (Oncogene DJ1) (Parkinsonism-associated deglycase) (Protein DJ-1) (DJ-1) (Protein/nucleic acid deglycase DJ-1) (EC 3.1.2.-, EC 3.5.1.-, EC 3.5.1.124)",PARK7,Homo sapiens (Human),189
